[ 2021-12-04 12:07:59,232 ] Disconnected from gameserver
[ 2021-12-04 12:07:59,356 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:08:00,217 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "Cleric" )
[ 2021-12-04 12:08:00,218 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:08:00,225 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:08:01,196 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:08:06,841 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-04 12:08:06,878 ] Disconnected from gameserver
[ 2021-12-04 12:08:06,901 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:08:19,573 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:08:20,083 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "Cleric" )
[ 2021-12-04 12:08:20,086 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:08:21,039 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:08:23,101 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:08:26,114 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:08:32,645 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "Cleric" )
[ 2021-12-04 12:08:32,646 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:08:32,650 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:08:33,616 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:09:33,689 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-04 12:09:33,732 ] Disconnected from gameserver
[ 2021-12-04 12:09:33,761 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:09:34,976 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "Cleric" )
[ 2021-12-04 12:09:34,978 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:09:34,982 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:09:35,948 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:10:33,694 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-04 12:10:33,735 ] Disconnected from gameserver
[ 2021-12-04 12:10:33,763 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
